trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.1, 'e': 0.9194312560951247}",25,0,-105.49133707643685,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
170,False,"{'a': 0.1, 'e': 0.9189716553768317}",25,0,-49.1003803443507,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
171,False,"{'a': 0.1, 'e': 0.9185122844014574}",20,0,-100.06319575271738,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
172,False,"{'a': 0.1, 'e': 0.9180531430541589}",25,0,-61.40214614695507,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
173,False,"{'a': 0.1, 'e': 0.9175942312201509}",30,0,-168.92742233074733,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
174,False,"{'a': 0.1, 'e': 0.9171355487847056}",25,0,-85.62361969380727,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
175,False,"{'a': 0.1, 'e': 0.9166770956331523}",20,0,-93.97467997564354,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
176,False,"{'a': 0.1, 'e': 0.9162188716508776}",30,0,-97.72855322087523,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
177,False,"{'a': 0.1, 'e': 0.9157608767233256}",20,0,-122.90397982584236,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
178,False,"{'a': 0.1, 'e': 0.9153031107359976}",25,0,-200.72936602107518,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
179,False,"{'a': 0.1, 'e': 0.914845573574452}",20,0,-72.46591513665012,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
180,False,"{'a': 0.1, 'e': 0.9143882651243046}",30,0,-66.76525955049568,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.9139311852712282}",35,0,-149.26206663085517,"{0: 20, 1: 6, 2: 6, 3: 2, 4: 1}",0
182,False,"{'a': 0.1, 'e': 0.9134743339009529}",20,0,-57.35342383470954,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
